X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X23,X24,X25,X27,X28,X29,X30,X31,X32,X33,CLK_PERIOD,MAX_FREQUENCY,POWER_DYNAMIC,POWER_STATIC,UTIL_FF,UTIL_LUT,UTIL_SLICE,UTIL_RAMB,UTIL_DSP
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.495,117.716,610.65,2880.47,4389,9852,3235,8,0
0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.976,77.065,415.17,2888.4,3696,6024,2971,190,12
0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9.975,100.251,505.73,2879.34,3915,7939,2906,8,12
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,8.496,117.702,344.83,2879.31,4295,7107,3038,8,0
0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,7.995,125.078,356.82,2879.24,3772,6667,2643,8,1
0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,8.991,111.222,596.28,2880.47,4406,9648,3541,8,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8.991,111.222,263.61,2879.19,4275,6999,3004,8,0
0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.453,87.313,688.35,2887.9,3868,8913,3764,140,1
0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.478,117.952,572.21,2880.08,4362,8885,3195,8,1
0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.485,105.43,291.92,2878.72,3916,6873,2925,8,0
0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9.491,105.363,508.43,2879.35,3897,8411,3125,8,0
0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,7.992,125.125,362.84,2879.42,4382,7001,3227,8,1
0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8.979,111.371,324.41,2878.75,3909,6997,2825,8,0
0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9.485,105.43,517.54,2879.66,4368,8442,3312,8,12
0,0,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.995,100.05,291.76,2878.55,4366,6476,3091,8,12
0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.989,111.247,542.26,2879.63,3889,8609,3342,8,0
0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,9.489,105.385,280.57,2878.53,3739,6241,2288,8,12
0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,8.481,117.911,614.31,2880.74,4409,9475,3538,8,0
0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,8.979,111.371,251.76,2878.86,4264,7370,2651,8,0
0,0,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,10.983,91.05,508.03,2881.46,3868,8276,3222,77,12
0,0,1,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,9.486,105.419,551.54,2880.21,4390,9703,3598,8,0
0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,8.994,111.185,331.48,2881.9,3725,6824,3266,45,1
0,0,1,0,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,7.49,133.511,636.7,2880.73,3909,8502,2662,8,1
0,0,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,7.991,125.141,365.7,2879.4,4292,7145,2872,8,0
0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,9.495,105.319,318.47,2878.73,3909,6914,3149,8,0
0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,8.496,117.702,545.3,2880.16,4374,8688,3403,8,1
0,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,8.485,117.855,355.32,2879.14,4386,6727,2930,8,1
0,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,8.983,111.321,526.02,2879.75,3889,8716,3448,8,0
0,0,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,9.977,100.231,458.09,2879.43,4362,8455,3290,8,12
0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,9.465,105.652,307.31,2878.52,3919,6877,2716,8,0
0,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9.492,105.352,471.05,2879.26,3892,8544,2786,8,0
0,0,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,10.474,95.475,293.77,2878.47,4355,6484,3108,8,12
0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,7.992,125.125,348.47,2879.17,4271,6830,2462,8,1
0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,9.496,105.307,424.52,2880.06,3907,8979,3560,8,0
0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,8.982,111.334,319.83,2878.89,3897,6998,2914,8,0
0,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,8.485,117.855,595.85,2880.62,4378,9364,3343,8,1
0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,8.988,111.259,575.72,2880.14,3889,8840,3341,8,0
0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,10.485,95.374,262.81,2878.4,4308,6264,2498,8,12
0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.484,95.383,369.01,2879.75,4434,8984,3365,8,12
0,1,0,0,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8.993,111.198,332.85,2879.15,3815,6906,3118,8,0
0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,8.991,111.222,319.06,2878.9,4381,7078,3198,8,0
0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,10.474,95.475,455.79,2878.99,3906,8019,3166,8,12
0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,9.994,100.06,274.7,2878.58,3878,6262,2850,8,12
0,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,12.481,80.122,595.35,2886.81,4329,9004,3711,140,0
0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,8.488,117.813,565.31,2879.94,3887,8179,3240,8,1
0,1,0,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,11.458,87.275,525.92,2889.91,4354,7100,3493,187,0
0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,9.495,105.319,516.29,2879.77,4391,9177,3593,8,0
0,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,8.499,117.661,312.68,2879.21,3908,6496,2995,8,1
0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,8.992,111.21,533.8,2879.77,3889,8554,3031,8,0
0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,7.992,125.125,405.03,2879.44,4344,6884,2851,8,1
0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,8.983,111.321,440.23,2880.41,4446,9301,3492,8,1
0,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,8.483,117.883,345.5,2878.83,3812,6995,2382,8,0
0,1,1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,9.465,105.652,305.97,2878.46,4243,6379,2371,8,12
0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,9.486,105.419,400.19,2879.86,3921,8691,3360,8,0
0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,8.496,117.702,370.42,2879.03,3894,7062,2708,8,0
0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,10.483,95.393,478.87,2879.72,4379,8731,3308,8,12
0,1,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,9.962,100.381,460.06,2879.38,3887,7930,3335,8,12
0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,9.995,100.05,359.95,2880.91,4345,6989,3207,45,0
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,9.496,105.307,502.77,2879.71,4387,9133,3642,8,0
0,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,9.486,105.419,298.42,2878.57,3883,6279,2618,8,12
0,1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,9.496,105.307,327.41,2878.82,4382,6944,3380,8,0
0,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,8.473,118.022,537.84,2879.92,3907,8361,3270,8,1
0,1,1,1,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,8.965,111.545,318.45,2878.66,3909,6680,2582,8,1
0,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,9.98,100.2,527.45,2881.34,4328,8920,3453,74,0
1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,8.953,111.694,261.39,2878.92,3822,6484,2670,8,1
1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,10.485,95.374,591.38,2884.15,4289,9343,3348,77,0
1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,9.485,105.43,331.7,2878.94,4310,6858,3017,8,0
1,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,9.948,100.523,488.18,2879.71,3902,8418,3162,8,1
1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,9.474,105.552,543.34,2880.12,4366,9113,3480,8,0
1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,10.966,91.191,261.68,2878.38,3782,6028,2700,8,12
1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,10.985,91.033,442.15,2879.32,3851,8033,3031,8,12
1,0,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,11.486,87.063,250.3,2880.4,4282,7113,3068,58,0
1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,8.968,111.508,306.72,2878.55,3904,6998,2461,8,0
1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,9.976,100.241,483.12,2879.91,4378,8199,2926,24,12
1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,10.485,95.374,277.62,2878.42,4312,6370,2806,8,12
1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,8.985,111.297,504.94,2879.61,3922,8247,2968,8,0
1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,8.964,111.557,507.78,2879.7,4418,8547,3054,8,1
1,0,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,9.991,100.09,300.94,2878.6,3852,6720,3247,8,0
1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,9.495,105.319,470.24,2879.16,3891,8153,2694,8,0
1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,9.452,105.798,314.22,2878.91,4389,6744,3093,8,1
1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,9.996,100.04,536.71,2879.93,4370,9329,3521,8,0
1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,9.453,105.787,296.91,2879.12,3805,6166,2491,23,1
1,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,8.99,111.235,531.97,2879.5,3850,8086,2662,8,1
1,0,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,11.99,83.403,298.3,2881.88,4292,6848,2691,190,0
1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,10.471,95.502,206.2,2878.57,3796,5970,2598,8,12
1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,11.991,83.396,549.18,2882.32,4289,9510,3616,140,0
1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,9.47,105.597,304.55,2878.91,4314,7060,2983,8,0
1,0,1,0,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,10.455,95.648,481.19,2879.61,3867,7900,3132,10,12
1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,10.451,95.685,435.02,2879.11,4415,8385,3059,8,12
1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9.485,105.43,220.03,2878.57,3847,6742,2437,10,0
1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,9.492,105.352,493.18,2879.39,3891,8315,3081,8,0
1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,10.83,92.336,240.03,2878.31,4358,6256,2898,8,12
1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,9.955,100.452,264.05,2878.4,3902,6758,2956,8,0
1,0,1,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,8.989,111.247,498.87,2879.79,4378,8509,2945,8,1
1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,9.488,105.396,261.95,2878.56,4341,6693,2634,8,1
1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,9.982,100.18,480.82,2879.94,3916,8363,3147,23,0
1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9.967,100.331,372.93,2879.5,3808,8431,3194,8,0
1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,10.969,91.166,275.37,2878.36,4323,6138,2651,8,12
1,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,10.988,91.008,448.49,2879.48,4278,8538,3357,8,12
1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,9.959,100.412,321.34,2878.99,3906,6730,2861,9,0
1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,8.996,111.161,318.71,2878.88,4348,6488,2446,8,1
1,1,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,9.487,105.407,523.22,2879.94,3802,8534,3204,10,0
1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,9.491,105.363,316.96,2878.85,3913,6974,2888,8,0
1,1,0,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,9.493,105.341,404.67,2880.12,4278,8624,3260,8,1
1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,8.99,111.235,491.08,2879.7,3903,7841,3046,8,1
1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,9.46,105.708,289.67,2878.77,4368,6939,3264,8,0
1,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,9.458,105.731,499.32,2879.65,4390,9027,3384,8,0
1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,9.996,100.04,329.43,2880.99,3841,6230,2929,47,1
1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,9.993,100.07,274.65,2878.54,4368,6839,3231,8,0
1,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,1,1,10.968,91.174,516.99,2883.23,3865,7690,3088,76,12
1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,10.466,95.547,255.73,2878.3,3855,6171,2738,8,12
1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,9.485,105.43,485.19,2879.53,4390,8879,3166,8,0
1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,9.996,100.04,277.19,2878.53,4325,5933,2521,8,12
1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.996,111.161,566.22,2880.05,3807,9200,3353,8,0
1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8.985,111.297,319.62,2878.8,3913,6821,2440,8,0
1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,10.988,91.008,363.33,2879.39,4277,8545,3258,8,12
1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,9.496,105.307,422.4,2879.88,3807,9017,3224,8,0
1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,8.963,111.57,246.95,2878.8,4350,6530,2594,8,1
1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,8.967,111.52,558.67,2880.03,4277,8946,3175,8,1
1,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,8.992,111.21,253.36,2878.92,3913,6715,2610,8,0
1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9.486,105.419,287.09,2878.55,4367,6767,2673,8,0
1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.978,77.053,461.17,2881.5,3872,8144,3534,140,1
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,9.48,105.485,286.58,2878.74,3880,6214,3004,8,1
1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,9.993,100.07,482.52,2879.37,4390,8914,3394,8,0
1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,10.495,95.283,435.68,2879.11,3903,7759,3067,8,12
1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,9.495,105.319,286.01,2878.66,4367,6889,2906,8,0
1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.991,100.09,484.26,2879.49,4390,9060,3545,8,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12.496,80.026,321.03,2881.58,3821,5975,2854,187,12
